Source,has_feature_addition,deletions,cross_project_changes,insertions,num_file_types,is_preventive,last_mth_cro_proj_nbr,project_changes_owner,whole_changes_owner,is_refactoring,cross_project_changes_owner,description_word_count,whole_within_project_changes,is_merge,num_directory_files,within_project_changes,is_corrective,description_length,num_file_changes,project_age,is_non_functional,subject_length,within_project_changes_owner,num_dev_modified_files,avg_num_dev_modified_files,code_churn,last_mth_dep_proj_nbr,ratio_dep_chan_owner,projects_contributed_owner,is_dependent,Source_repo,reviewers,is_cross,insertions_target,deletions_target,code_churn_target,num_directory_files_target,is_corrective_target,is_refactoring_target,is_preventive_target,is_non_functional_target,has_feature_addition_target,is_merge_target,cross_project_changes_owner_target,within_project_changes_owner_target,whole_changes_owner_target,projects_contributed_owner_target,project_changes_owner_target,ratio_dep_chan_owner_target,project_age_target,last_mth_dep_proj_nbr_target,last_mth_cro_proj_nbr_target,cross_project_changes_target,within_project_changes_target,whole_within_project_changes_target,num_file_changes_target,num_file_types_target,num_dev_modified_files_target,avg_num_dev_modified_files_target,description_word_count_target,description_length_target,subject_length_target,number_target,Target_repo,Target,Source_date,Target_date,Source_author,Target_author,changed_files_overlap,cmn_dev_pctg,num_shrd_file_tkns,num_shrd_desc_tkns,dev_in_src_change_nbr,src_trgt_co_changed_nbr
68,0,105,0,660,0,0,0,11,11,0,0,5,0,1,0,0,0,61,0,94207.0,0,60,0,0,0.0,765,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
69,0,23,0,129,0,0,0,11,11,0,0,5,0,1,0,0,0,61,0,94207.0,0,60,0,0,0.0,152,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
71,1,17,0,26,1,1,0,11,11,0,0,7,0,0,1,0,0,42,3,94207.0,0,41,0,1,1.0,43,0,0.0,1,0,openstack/keystone,"[1, 7, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,1.6923076923076923,0.0,0.5909090909090909,0.0975609756097561,0,0
72,1,9,0,70,1,1,0,11,11,1,0,10,0,0,1,0,0,65,3,94207.0,0,64,0,1,1.0,79,0,0.0,1,0,openstack/keystone,"[1, 5, 7, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,1.6923076923076923,0.0,0.5909090909090909,0.0975609756097561,0,0
70,1,0,0,36,1,1,0,11,11,1,0,15,0,0,1,0,0,87,3,94207.0,0,86,0,1,1.0,36,0,0.0,1,0,openstack/keystone,"[1, 5, 7, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,1.6923076923076923,0.0,0.5909090909090909,0.0975609756097561,0,0
74,0,0,0,0,0,0,0,11,11,0,0,5,0,1,0,0,0,53,0,94207.0,0,52,0,0,0.0,0,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
75,0,926,0,722,1,0,0,11,11,0,0,7,0,1,10,0,0,114,12,94207.0,0,60,0,1,0.1,1648,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,1.2777777777777777,0.0,0.782608695652174,0.0975609756097561,0,0
76,0,8907,0,7399,0,0,0,11,11,0,0,5,0,1,0,0,0,61,0,94207.0,0,60,0,0,0.0,16306,0,0.0,1,0,openstack/keystone,"[3, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
73,0,1,0,1,1,0,0,11,11,0,0,6,0,0,1,0,0,54,1,94207.0,0,53,0,1,1.0,2,0,0.0,1,0,openstack/keystone,"[1, 5, 679, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:48,2025-07-04 11:04:23,5,8064,1.8461538461538463,0.0,0.5416666666666666,0.0975609756097561,0,0
79,0,107,0,143,0,0,0,20,20,0,0,5,0,1,0,0,0,61,0,94208.0,0,60,0,0,0.0,250,0,0.0,1,0,openstack/keystone,"[3, 5, 679]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:49,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
77,0,489,0,1438,0,0,0,20,20,0,0,5,0,1,0,0,0,61,0,94208.0,0,60,0,0,0.0,1927,0,0.0,1,0,openstack/keystone,"[1, 5, 679]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:49,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
78,0,953,0,879,0,0,0,20,20,0,0,5,0,1,0,0,0,61,0,94208.0,0,60,0,0,0.0,1832,0,0.0,1,0,openstack/keystone,"[3, 5, 679]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:49,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
