changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
['src/templates/xena/octavia.conf'],2424,MERGED,848297,0,0,0.0,0.0,0
['puppet/hieradata/controller.yaml'],6928,MERGED,334026,48,48,48.0,48.0,1
['mistral/api/wsgi.py'],5558,MERGED,231145,0,0,0.0,0.0,0
['tox.ini'],22020,MERGED,419261,1,1,1.0,1.0,1
"['tasks/db_setup.yml', 'zuul.d/project.yaml']",28619,ABANDONED,774788,1,7,4.0,4.0,2
"['heat/engine/service_software_config.py', 'heat/tests/engine/service/test_software_config.py']",7385,MERGED,557311,0,4,2.0,2.0,1
['releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po'],11131,MERGED,882656,0,0,0.0,0.0,0
['specs/10.0/ui-deployment-history.rst'],8766,MERGED,331005,0,0,0.0,0.0,0
['deployment/nova/nova-base-puppet.yaml'],17216,MERGED,782434,12,12,12.0,12.0,1
['.zuul.yaml'],15519,MERGED,731842,12,12,12.0,12.0,1
"['nova/virt/libvirt/driver.py', 'nova/tests/unit/virt/libvirt/test_driver.py']",4690,MERGED,325428,14,25,19.5,19.5,2
['neutron/tests/functional/agent/l3/test_dvr_router.py'],9531,MERGED,647784,4,4,4.0,4.0,1
['run_tests.sh'],9816,MERGED,856885,41,41,41.0,41.0,1
"['spec/classes/swift_spec.rb', 'manifests/init.pp']",14985,ABANDONED,219883,0,0,0.0,0.0,0
['playbooks/base-test/post-logs.yaml'],2,MERGED,495462,0,0,0.0,0.0,0
"['api-ref/source/parameters.yaml', 'api-ref/source/os-hypervisors.inc']",20863,ABANDONED,310096,0,0,0.0,0.0,0
"['nova/objects/base.py', 'nova/compute/cells_api.py', 'nova/objects/compute_node.py', 'nova/objects/service.py', 'nova/tests/objects/test_objects.py', 'nova/objects/keypair.py', 'nova/objects/aggregate.py', 'nova/objects/instance_action.py']",4393,MERGED,43754,0,0,0.0,0.0,0
['tox.ini'],9107,MERGED,218298,1,1,1.0,1.0,1
['neutron/plugins/ml2/drivers/l2pop/mech_driver.py'],19956,MERGED,652043,4,4,4.0,4.0,1
"['vars/source_install.yml', 'tasks/horizon_install_source.yml']",21714,MERGED,689239,2,3,2.5,2.5,2
['api-ref/source/servers-actions.inc'],21723,ABANDONED,327112,0,0,0.0,0.0,0
['devstack/create_config'],10234,MERGED,838231,1,1,1.0,1.0,1
['devstack/plugin.sh'],8770,MERGED,446653,0,0,0.0,0.0,0
['setup.py'],32926,MERGED,835585,0,0,0.0,0.0,0
"['doc/source/admin/drivers/oneview.rst', 'doc/source/install/enabling-https.rst']",27566,ABANDONED,543175,0,1,0.5,0.5,1
['test/probe/test_reconstructor_revert.py'],1179,ABANDONED,432162,0,0,0.0,0.0,0
"['contrib/heat_keystone/keystone_service_endpoint.yaml', 'contrib/heat_keystone/keystone_service.yaml']",10487,MERGED,181619,0,0,0.0,0.0,0
['doc/source/reference/support-matrix.ini'],17042,MERGED,639870,0,0,0.0,0.0,0
['scripts/gate-check-commit.sh'],25023,MERGED,911583,32,32,32.0,32.0,1
['specs/juno/tap-as-a-service.rst'],11674,ABANDONED,96186,0,0,0.0,0.0,0
"['swift/common/middleware/slo.py', 'test/unit/common/middleware/test_slo.py', 'test/functional/test_object_versioning.py']",1179,NEW,901343,0,1,0.0,0.333333333,1
"['ceilometer/tests/unit/network/services/test_fwaas.py', 'ceilometer/tests/unit/network/services/test_lbaas.py', 'test-requirements.txt', 'ceilometer/tests/unit/compute/test_discovery.py', 'ceilometer/tests/unit/event/test_endpoint.py', 'ceilometer/tests/unit/dispatcher/test_gnocchi.py', 'ceilometer/tests/unit/test_event_pipeline.py', 'ceilometer/tests/unit/api/v2/test_query.py', 'ceilometer/tests/unit/hardware/inspector/test_snmp.py', 'ceilometer/tests/unit/objectstore/test_swift.py', 'ceilometer/tests/unit/dispatcher/test_dispatcher.py', 'ceilometer/tests/unit/network/services/test_lbaas_v2.py', 'ceilometer/tests/unit/test_novaclient.py', 'ceilometer/tests/unit/network/services/test_vpnaas.py', 'ceilometer/tests/unit/test_collector.py', 'ceilometer/tests/unit/compute/pollsters/base.py', 'ceilometer/tests/unit/hardware/pollsters/test_generic.py', 'ceilometer/tests/unit/pipeline_base.py', 'ceilometer/tests/unit/test_declarative.py', 'ceilometer/tests/functional/test_collector.py', 'ceilometer/tests/base.py', 'ceilometer/tests/unit/objectstore/test_rgw.py', 'ceilometer/tests/unit/ipmi/pollsters/base.py', 'ceilometer/tests/unit/network/test_floating_ip.py', 'ceilometer/tests/functional/api/v2/test_api_upgrade.py', 'ceilometer/tests/db.py', 'ceilometer/tests/functional/api/v2/test_post_samples_scenarios.py', 'ceilometer/tests/unit/agent/test_manager.py']",22752,MERGED,462028,0,6,1.0,1.321428571,18
['zuul.d/layout.yaml'],1,MERGED,540981,2,2,2.0,2.0,1
['requirements.txt'],11131,MERGED,243933,1,1,1.0,1.0,1
"['docker/octavia/octavia-api/extend_start.sh', 'docker/octavia/octavia-api/Dockerfile.j2']",6681,MERGED,638462,0,0,0.0,0.0,0
['zuul.d/projects.yaml'],6547,MERGED,661910,510,510,510.0,510.0,1
"['tools/tox_install.sh', 'devstack/README.md']",7118,MERGED,646643,0,4,2.0,2.0,1
['requirements.txt'],11131,MERGED,212760,0,0,0.0,0.0,0
"['nailgun/nailgun/test/unit/test_rpc_acknowledge.py', 'nailgun/nailgun/rpc/receiverd.py']",10959,MERGED,315472,0,0,0.0,0.0,0
['nova/wsgi/nova-api.py'],4393,MERGED,428417,1,1,1.0,1.0,1
['run_tests.sh'],3153,ABANDONED,328449,17,17,17.0,17.0,1
['test-requirements.txt'],11131,MERGED,275487,0,0,0.0,0.0,0
['cinder/image/image_utils.py'],12732,MERGED,374481,1,1,1.0,1.0,1
