has_feature_addition,deletions,insertions,num_file_types,is_preventive,project_changes_owner,is_refactoring,whole_within_project_changes,is_merge,num_directory_files,is_corrective,description_length,num_file_changes,project_age,is_non_functional,subject_length,avg_num_dev_modified_files,last_mth_dep_proj_nbr,ratio_dep_chan_owner,projects_contributed_owner,pctg_cross_project_changes,pctg_cross_project_changes_owner,pred,impact,fold,Classifier,max_num_mod_file_dep_cha,cross_project_changes_owner,min_num_mod_file_dep_cha,cross_project_changes,whole_changes_owner,num_dev_modified_files
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,33.99143963674355,13.0,0.4724600552821412,0.0,0.9985869,0.018032662570476532,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,44.8878722785859,0.4724600552821412,0.0,0.9865491,0.005760433152318001,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.6947186144106938,0.0,0.9855305,0.00472201406955719,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.2162546448745963,0.94723415,-0.034320082515478134,2,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,0,13.0,0,1103.5,0,2.0,0,281.0,28.0,611.5686168981481,0,40.0,,1.0,2.7777777777777777,13.0,0.4724600552821412,0.0,0.9880164,0.007256354205310345,2,XGBoost,36.44047971795106,0.0,,,,
1,2.0,9.0,1.0,0,14.0,0,2433.5,0,2.0,0,280.0,29.0,656.0865335648148,0,40.0,,1.0,5.0,14.0,0.4758989489212613,0.0,0.9902228,0.003738557454198599,3,XGBoost,0.0,0.0,,,,
0,1493.6730131418342,9.0,1.0,0,14.0,0,2433.5,0,2.0,0,280.0,29.0,656.0865335648148,0,40.0,,1.0,5.0,14.0,0.4758989489212613,0.0,0.98633367,-0.0002036697551375255,3,XGBoost,0.0,0.0,,,,
0,2.0,4474.769401731783,1.0,0,14.0,0,2433.5,0,2.0,0,280.0,29.0,656.0865335648148,0,40.0,,1.0,5.0,14.0,0.4758989489212613,0.0,0.9857383,-0.0008071871707215905,3,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.9086103842213014,0,14.0,0,2433.5,0,2.0,0,280.0,29.0,656.0865335648148,0,40.0,,1.0,5.0,14.0,0.4758989489212613,0.0,0.9865346,0.0,3,XGBoost,0.0,0.0,,,,
0,2.0,9.0,1.0,1,14.0,0,2433.5,0,2.0,0,280.0,29.0,656.0865335648148,0,40.0,,1.0,5.0,14.0,0.4758989489212613,0.0,0.9861157,-0.0004246191238053143,3,XGBoost,0.0,0.0,,,,
