Feature,Ranking,Classifier,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,median
whole_changes_owner_source,5,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
whole_changes_owner_source,5,RF,0.0,-0.3333333333333333,-0.04761904761904766,-0.03636363636363639,-0.08510638297872336,0.0,-0.13461538461538464,-0.09803921568627448,-0.081967213114754,-0.0338983050847458,-0.08353679804673868
whole_changes_owner_source,5,XGBoost,0.0,-0.6475113034248352,-0.38133734464645386,-0.32759562134742737,-0.1498921662569046,-0.1977684646844864,-0.3724263310432434,-0.5875542163848877,-0.2300589680671692,-0.052727192640304565,-0.32759562134742737
whole_changes_owner_source,5,AdaBoost,0.0,0.003203258045126887,0.002610375838112561,0.0030201874391098007,0.002482452978776933,0.0,0.0,0.0,0.0,0.0,0.0028152816386111806
last_mth_dep_proj_nbr_target,6,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
last_mth_dep_proj_nbr_target,6,RF,-0.26315789473684204,2.7500000000000004,-0.04761904761904766,-0.10909090909090918,0.0,-0.15094339622641512,-0.019230769230769246,-0.03921568627450984,-0.13114754098360648,-0.1016949152542372,-0.1016949152542372
last_mth_dep_proj_nbr_target,6,XGBoost,0.30868279933929443,1.3491302728652954,-0.09045588225126266,-0.10965211689472198,-0.06076453626155853,-0.09045710414648056,0.114287830889225,0.0029297617729753256,-0.06631585955619812,0.02425394207239151,-0.028917387244291604
last_mth_dep_proj_nbr_target,6,AdaBoost,0.0,0.026073280089668617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026073280089668617
is_corrective_source,6,ET,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
is_corrective_source,6,RF,0.0,2.7500000000000004,0.07936507936507943,0.09090909090909079,0.17021276595744697,0.03773584905660381,0.13461538461538453,0.15686274509803913,0.09836065573770501,0.0338983050847458,0.09836065573770501
is_corrective_source,6,XGBoost,1.4533559083938599,1.3491302728652954,0.053937170654535294,0.19481024146080017,0.13728268444538116,0.20817331969738007,0.3461046516895294,0.09334026277065277,0.060596369206905365,0.1201033815741539,0.16604646295309067
is_corrective_source,6,AdaBoost,0.0050000560087336875,0.026073280089668617,0.003200959862586766,0.004947269524451919,0.004063844618803646,0.004498451623744327,0.0036411315880706353,0.002947837816895626,0.0035503247730174904,0.0031423608011557596,0.0038524881034371406
projects_contributed_owner_target,7,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
projects_contributed_owner_target,7,RF,-0.026315789473684233,2.7500000000000004,-0.07936507936507943,-0.20000000000000007,-0.17021276595744672,-0.20754716981132082,-0.2692307692307693,-0.37254901960784315,-0.16393442622950816,-0.16949152542372878,-0.16985214569058776
projects_contributed_owner_target,7,XGBoost,-0.6866591572761536,1.3491302728652954,-0.23148216307163239,-0.306183785200119,-0.46603521704673767,-0.15802477300167084,-0.40916451811790466,-0.15972654521465302,-0.3667188584804535,-0.5219288468360901,-0.33645132184028625
projects_contributed_owner_target,7,AdaBoost,-0.0041218756148764905,0.026073280089668617,-0.0034702916526809678,0.0,-0.0064537520961359795,-0.005306749032449604,0.0,0.0,0.0,0.0,-0.0041218756148764905
projects_contributed_owner_source,7,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
projects_contributed_owner_source,7,RF,-0.05263157894736847,2.7500000000000004,-0.04761904761904766,-0.05454545454545459,-0.021276595744680753,-0.07547169811320761,-0.11538461538461538,-0.11764705882352941,-0.11475409836065566,-0.08474576271186429,-0.0650085763293311
projects_contributed_owner_source,7,XGBoost,-0.12726013362407684,1.3491302728652954,-0.1693994551897049,0.18205392360687256,-0.3071818947792053,-0.2412484884262085,-0.24691830575466156,0.029521606862545013,-0.19412600994110107,-0.1693326085805893,-0.1693660318851471
